Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
setText,Chrome 65.0.3325.162,\u8F93\u5165\u6210\u54C1\u540D\u79F0,2018-03-22 09:49:09,2018-03-22 09:49:09,0.648s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u6210\u54C1\u578B\u53F7,2018-03-22 09:49:09,2018-03-22 09:49:10,0.236s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u5C3A\u5BF8\u957F,2018-03-22 09:49:10,2018-03-22 09:49:10,0.337s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u5C3A\u5BF8\u5BBD,2018-03-22 09:49:10,2018-03-22 09:49:10,0.141s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u5C3A\u5BF8\u9AD8,2018-03-22 09:49:10,2018-03-22 09:49:10,0.168s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u989C\u8272,2018-03-22 09:49:10,2018-03-22 09:49:10,0.131s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u91CD\u8981\u7279\u5F81,2018-03-22 09:49:10,2018-03-22 09:49:11,0.187s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u9009\u62E9\u8BA1\u4EF7\u5355\u4F4D,2018-03-22 09:49:11,2018-03-22 09:49:11,0.446s,PASSED
selectOptionByValue,Chrome 65.0.3325.162,\u8F93\u5165\u8BA1\u6570\u5355\u4F4D,2018-03-22 09:49:11,2018-03-22 09:49:11,0.364s,PASSED
setText,Chrome 65.0.3325.162,\u8F93\u5165\u5907\u6CE8,2018-03-22 09:49:11,2018-03-22 09:49:12,0.280s,PASSED
click,Chrome 65.0.3325.162,\u70B9\u51FB\u63D0\u4EA4,2018-03-22 09:49:12,2018-03-22 09:49:12,0.233s,PASSED
delay,Chrome 65.0.3325.162,,2018-03-22 09:49:12,2018-03-22 09:49:17,5.002s,PASSED
verifyElementText,Chrome 65.0.3325.162,\u9A8C\u8BC1\u65B0\u589E,2018-03-22 09:49:17,2018-03-22 09:49:17,0.101s,PASSED
,,,,,,
Test Cases/jinxiaocun/chengpinguanli/chengpinguanli-liebiaocaozuo,Chrome 65.0.3325.162,,2018-03-22 09:49:17,2018-03-22 09:50:17,59.764s,PASSED
callTestCase,Chrome 65.0.3325.162,,2018-03-22 09:49:17,2018-03-22 09:49:28,10.954s,PASSED
